Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
Heuchera americana var. brevipetala,E1464,Kentucky,None,0.000,0.000,0.000,4.295,7.837,4.197,,,1.273,3.177,4.271,3.686,10.390,
Heuchera americana var. brevipetala,E1464,Kentucky,None,0.000,0.000,0.000,3.683,5.894,4.884,1.414,1.176,2.531,4.111,3.999,6.633,10.687,
Heuchera americana var. brevipetala,E1464,Kentucky,None,0.000,0.000,0.000,1.302,4.277,4.350,1.845,1.661,2.732,3.986,4.228,4.464,5.711,478.970
Heuchera americana var. brevipetala,E520,Louisiana,None,0.000,0.000,0.000,3.094,5.585,4.077,1.295,1.047,2.220,3.781,4.639,6.680,8.948,
Heuchera americana var. brevipetala,E520,Louisiana,None,0.000,0.000,0.000,3.180,6.877,4.599,2.309,1.663,1.492,3.796,2.391,5.411,7.762,
Heuchera americana var. brevipetala,E520,Louisiana,None,0.000,0.000,0.000,2.923,6.930,3.772,1.583,1.426,1.522,3.382,,4.614,9.504,586.104
Heuchera americana var. brevipetala,E1520,Louisiana,None,0.000,0.000,0.000,1.463,3.641,4.113,1.079,0.837,2.426,3.511,5.248,5.561,11.415,621.041
Heuchera americana var. brevipetala,E1520,Louisiana,None,0.000,0.000,0.000,2.663,5.432,4.255,1.585,1.251,2.659,5.501,4.733,5/939,11.282,
Heuchera americana var. brevipetala,E1520,Louisiana,None,0.000,0.000,0.000,,,3.961,1.642,0.919,1.960,4.013,3.552,3.062,10.647,
Heuchera americana var. brevipetala,E1521,Maryland,None,0.000,0.000,0.000,1.405,4.106,3.417,,,2.952,3.813,3.501,3.410,13.284,702.216
Heuchera americana var. brevipetala,E1521,Maryland,Low,0.000,0.000,0.000,2.362,5.252,,,,,,,,,
Heuchera americana var. brevipetala,E1521,Maryland,Low,0.000,0.000,0.000,1.053,3.008,,,,,,,,,
Heuchera americana var. brevipetala,E1469,Tennessee,None,0.000,0.000,0.000,3.406,7.439,3.487,1.055,0.821,2.159,4.069,3.469,2.366,23.083,401.698
Heuchera americana var. brevipetala,E1469,Tennessee,Low,0.000,0.000,0.000,2.221,6.593,2.793,0.840,0.804,2.433,3.771,4.157,2.607,13.640,861.709
Heuchera americana var. brevipetala,E1469,Tennessee,None,0.000,0.000,0.000,2.139,3.207,2.593,0.993,0.886,1.524,4.515,3.548,2.400,12.630,847.381
Heuchera americana var. brevipetala,E1474,Tennessee,None,0.000,0.000,0.000,,,3.792,1.593,1.308,1.974,3.421,3.112,3.676,11.606,
Heuchera americana var. brevipetala,E1474,Tennessee,None,0.000,0.000,0.000,,,3.010,0.727,0.712,2.492,3.255,4.613,2.681,11.928,
Heuchera americana var. brevipetala,E1474,Tennessee,Low,0.000,0.000,0.000,,,2.992,1.375,1.192,1.430,2.882,5.830,4.159,12.566,870.557
Heuchera americana var. brevipetala,E1471,Tennessee,None,0.000,0.000,1.550,1.518,4.582,,,,,,,,,
Heuchera americana var. brevipetala,E1471,Tennessee,None,0.000,0.000,0.939,1.574,3.823,,,,,,,,,
Heuchera americana var. brevipetala,E1471,Tennessee,None,0.000,0.000,0.749,1.782,5.259,,,,,,,,,
Heuchera americana var. brevipetala,E1473,Tennessee,None,0.000,0.000,,1.547,5.347,3.024,1.086,1.085,2.377,3.456,2.667,2.222,19.102,
Heuchera americana var. brevipetala,E1473,Tennessee,None,0.000,0.000,,1.359,4.777,3.010,1.498,1.264,1.862,3.897,2.884,3.803,14.914,
Heuchera americana var. brevipetala,E1473,Tennessee,None,0.000,0.000,,1.256,5.642,3.749,0.920,0.654,2.805,3.692,2.850,2.299,12.202,
Heuchera americana var. brevipetala,E494,Texas,None,0.000,0.000,0.000,3.211,7.867,3.862,1.217,0.751,2.831,4.810,4.268,2.912,12.845,926.269
Heuchera americana var. brevipetala,E494,Texas,None,0.000,0.000,0.000,1.919,6.289,4.306,1.889,1.847,2.624,3.912,3.876,3.248,13.007,
Heuchera americana var. brevipetala,E494,Texas,None,0.000,0.000,0.000,1.467,6.288,,,,,4.612,4.618,3.723,12.892,
Heuchera americana var. brevipetala,E491,Texas,None,0.000,0.000,0.000,2.791,5.317,3.046,1.516,1.283,1.846,3.491,2.654,4.116,18.538,
Heuchera americana var. brevipetala,E491,Texas,None,0.000,0.000,0.000,2.504,6.349,3.247,,,2.313,2.996,2.624,5.546,17.846,
Heuchera americana var. brevipetala,E491,Texas,None,0.000,0.000,0.000,2.257,4.603,4.473,1.760,1.694,2.095,2.661,,4.630,15.507,
Heuchera americana var. brevipetala,E1519,Georgia,None,2.874,0.504,0.000,2.791,5.317,,,,,,,,,
Heuchera americana var. brevipetala,E1519,Georgia,None,,,0.000,2.504,6.349,,,,,,,,,
Heuchera americana var. brevipetala,E1519,Georgia,None,,,0.000,2.257,4.603,,,,,,,,,
Heuchera americana var. calycosa,E1579,Alabama,None,0.000,0.000,0.000,1.984,3.918,4.111,1.447,1.264,2.058,3.029,2.431,2.356,10.217,819.070
Heuchera americana var. calycosa,E1579,Alabama,None,0.000,0.000,0.000,2.243,3.847,3.293,1.277,1.138,1.086,2.628,2.871,5.896,12.718,
Heuchera americana var. calycosa,E1579,Alabama,None,0.000,0.000,0.000,2.100,3.956,3.656,1.651,1.257,1.709,3.162,2.958,2.226,11.783,
Heuchera americana var. calycosa,E502,Alabama,None,0.000,0.000,0.000,1.736,5.273,3.133,0.709,0.474,1.993,3.698,2.575,3.040,22.253,961.619
Heuchera americana var. calycosa,E502,Alabama,None,0.000,0.000,0.000,1.279,4.116,3.709,0.896,0.559,2.392,2.778,3.551,3.607,18.008,655.323
Heuchera americana var. calycosa,E502,Alabama,Low,0.000,0.000,0.000,2.550,5.529,3.390,0.880,0.608,2.551,2.373,3.453,4.005,21.522,
Heuchera americana var. calycosa,E522,Alabama,Low,0.000,0.000,0.000,1.203,4.724,3.211,0.949,0.749,2.463,2.428,2.753,1.644,27.017,936.630
Heuchera americana var. calycosa,E522,Alabama,None,0.000,0.000,0.000,1.194,4.327,2.468,0.816,0.776,1.592,2.478,2.836,2.681,20.802,847.240
Heuchera americana var. calycosa,E522,Alabama,None,0.000,0.000,0.000,1.045,3.581,,,,,2.305,2.687,2.705,25.487,673.393
Heuchera americana var. calycosa,E514,Georgia,None,0.000,0.000,0.000,1.042,4.331,4.008,0.971,,1.952,4.284,3.254,5.446,16.496,892.920
Heuchera americana var. calycosa,E514,Georgia,None,0.000,0.000,0.000,1.539,3.833,4.258,1.617,1.174,2.651,2.975,3.459,3.233,14.373,814.082
Heuchera americana var. calycosa,E514,Georgia,None,0.000,0.000,0.000,1.516,3.513,4.146,1.375,1.114,2.707,3.657,,6.186,10.852,
Heuchera americana var. calycosa,E512,Tennessee,None,0.000,0.000,0.000,0.925,4.399,3.474,0.967,,1.550,4.107,3.112,3.677,12.242,888.294
Heuchera americana var. calycosa,E512,Tennessee,None,0.000,0.000,0.000,,,3.802,1.173,0.869,2.404,3.028,3.033,5.336,10.022,
Heuchera americana var. calycosa,E512,Tennessee,,0.000,0.000,0.000,,,3.256,0.806,0.696,2.533,2.553,3.936,3.975,16.290,
Heuchera americana var. calycosa,E515,Tennessee,None,0.871,0.479,1.420,1.042,4.331,3.034,1.269,1.262,1.277,2.088,2.537,1.987,24.424,578.251
Heuchera americana var. calycosa,E515,Tennessee,None,,,,1.539,3.833,2.890,0.494,0.475,2.079,2.173,,2.968,24.019,629.832
Heuchera americana var. calycosa,E515,Tennessee,,,,,1.516,3.513,,,,,,,,24.904,
Heuchera americana var. calycosa,E518,Tennessee,None,0.000,0.000,0.000,1.218,3.188,2.624,0.869,0.613,1.596,3.830,,5.921,27.062,1012.704
Heuchera americana var. calycosa,E518,Tennessee,Low,0.000,0.000,0.000,2.022,5.599,4.003,1.277,1.038,1.616,4.837,2.855,5.333,23.223,
Heuchera americana var. calycosa,E518,Tennessee,Medium,0.000,0.000,0.000,1.245,3.513,4.032,0.759,0.531,2.808,4.533,1.862,3.596,32.379,
Heuchera americana var. hirsuticaulis,E501,Arkansas,None,0.609,0.434,0.000,2.099,4.629,3.937,2.047,1.678,2.197,3.503,4.199,7.345,31.937,701.474
Heuchera americana var. hirsuticaulis,E501,Arkansas,None,0.681,0.502,0.000,2.379,5.157,3.957,1.512,0.783,2.643,3.655,,3.615,22.692,525.048
Heuchera americana var. hirsuticaulis,E501,Arkansas,None,0.863,0.504,0.000,1.702,3.513,3.717,1.475,1.200,2.563,2.315,3.150,3.071,15.908,
Heuchera americana var. hirsuticaulis,E1528,Arkansas,None,1.556,0.819,0.000,1.444,7.223,3.677,1.961,1.580,1.459,4.560,5.107,1.860,8.157,567.133
Heuchera americana var. hirsuticaulis,E1528,Arkansas,None,1.513,0.766,0.000,1.687,6.635,3.646,1.344,1.174,1.183,3.227,2.196,1.469,7.058,
