Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
BREVIPETALA,E1473,Tennessee,None,0.000,0.000,,5.347,1.547,3.024,1.086,1.085,2.377,3.456,2.667,2.222,19.102,
BREVIPETALA,E1473,Tennessee,None,0.000,0.000,,4.777,1.359,3.010,1.498,1.264,1.862,3.897,2.884,3.803,14.914,
BREVIPETALA,E1473,Tennessee,None,0.000,0.000,,5.642,1.256,3.749,0.920,0.654,2.805,3.692,2.850,2.299,12.202,
BREVIPETALA,E494,Texas,None,0.000,0.000,0.000,7.867,3.211,3.862,1.217,0.751,2.831,4.810,4.268,2.912,12.845,926.269
BREVIPETALA,E494,Texas,None,0.000,0.000,0.000,6.289,1.919,4.306,1.889,1.847,2.624,3.912,3.876,3.248,13.007,
BREVIPETALA,E494,Texas,None,0.000,0.000,0.000,6.288,1.467,,,,,4.612,4.618,3.723,12.892,
BREVIPETALA,E491,Texas,None,0.000,0.000,0.000,5.317,2.791,3.046,1.516,1.283,1.846,3.491,2.654,4.116,18.538,
BREVIPETALA,E491,Texas,None,0.000,0.000,0.000,6.349,2.504,3.247,,,2.313,2.996,2.624,5.546,17.846,
BREVIPETALA,E491,Texas,None,0.000,0.000,0.000,4.603,2.257,4.473,1.760,1.694,2.095,2.661,,4.630,15.507,
CALYCOSA,E1519,Georgia,None,2.874,0.504,0.000,5.317,2.791,,,,,,,,,
CALYCOSA,E1519,Georgia,None,,,0.000,6.349,2.504,,,,,,,,,
CALYCOSA,E1519,Georgia,None,,,0.000,4.603,2.257,,,,,,,,,
CALYCOSA,E1579,Alabama,None,0.000,0.000,0.000,3.918,1.984,4.111,1.447,1.264,2.058,3.029,2.431,2.356,10.217,819.070
CALYCOSA,E1579,Alabama,None,0.000,0.000,0.000,3.847,2.243,3.293,1.277,1.138,1.086,2.628,2.871,5.896,12.718,
CALYCOSA,E1579,Alabama,None,0.000,0.000,0.000,3.956,2.100,3.656,1.651,1.257,1.709,3.162,2.958,2.226,11.783,
CALYCOSA,E502,Alabama,None,0.000,0.000,0.000,5.273,1.736,3.133,0.709,0.474,1.993,3.698,2.575,3.040,22.253,961.619
